Abraham  Ralph,202-225-8490,"417 CHOB,Louisiana 5th District"
Davidson  Warren,202-225-6205,"1004 LHOB,Ohio 8th District"
Davis  Danny K.,202-225-5006,"2159 RHOB,Illinois 7th District"
Davis  Rodney,202-225-2371,"1740 LHOB,Illinois 13th District"
Davis  Susan,202-225-2040,"1214 LHOB,California 53rd District"
DeFazio  Peter,202-225-6416,"2134 RHOB,Oregon 4th District"
DeGette  Diana,202-225-4431,"2111 RHOB,Colorado 1st District"
Delaney  John,202-225-2721,"1632 LHOB,Maryland 6th District"
DeLauro  Rosa L.,202-225-3661,"2413 RHOB,Connecticut 3rd District"
DelBene  Suzan,202-225-6311,"2442 RHOB,Washington 1st District"
Demings  Val,202-225-2176,"238 CHOB,Florida 10th District"
Denham  Jeff,202-225-4540,"1730 LHOB,California 10th District"
Dent  Charles W.,202-225-6411,"2082 RHOB,Pennsylvania 15th District"
DeSantis  Ron,202-225-2706,"1524 LHOB,Florida 6th District"
DeSaulnier  Mark,202-225-2095,"115 CHOB,California 11th District"
DesJarlais  Scott,202-225-6831,"2301 RHOB,Tennessee 4th District"
Deutch  Ted,202-225-9890,"2447 RHOB,Florida 22nd District"
Diaz-Balart  Mario,202-225-4211,"440 CHOB,Florida 25th District"
Dingell  Debbie,202-225-4071,"116 CHOB,Michigan 12th District"
Doggett  Lloyd,202-225-4865,"2307 RHOB,Texas 35th District"
Donovan  Daniel,202-225-3371,"1541 LHOB,New York 11th District"
Doyle  Mike,202-225-2135,"239 CHOB,Pennsylvania 14th District"
Duffy  Sean P.,202-225-3365,"2330 RHOB,Wisconsin 7th District"
Duncan  Jeff,202-225-5301,"2229 RHOB,South Carolina 3rd District"
Duncan Jr.  John J.,202-225-5435,"2207 RHOB,Tennessee 2nd District"
Dunn  Neal,202-225-5235,"423 CHOB,Florida 2nd District"
Ellison  Keith,202-225-4755,"2263 RHOB,Minnesota 5th District"
Emmer  Tom,202-225-2331,"315 CHOB,Minnesota 6th District"
Engel  Eliot,202-225-2464,"2462 RHOB,New York 16th District"
Eshoo  Anna G.,202-225-8104,"241 CHOB,California 18th District"
Espaillat  Adriano,202-225-4365,"1630 LHOB,New York 13th District"
Esty  Elizabeth,202-225-4476,"221 CHOB,Connecticut 5th District"
Evans  Dwight,202-225-4001,"1105 LHOB,Pennsylvania 2nd District"
Farenthold  Blake,202-225-7742,"2331 RHOB,Texas 27th District"
Faso  John,202-225-5614,"1616 LHOB,New York 19th District"
Ferguson  A. Drew,202-225-5901,"1032 LHOB,Georgia 3rd District"
Fitzpatrick  Brian,202-225-4276,"514 CHOB,Pennsylvania 8th District"
Fleischmann  Chuck,202-225-3271,"2410 RHOB,Tennessee 3rd District"
Flores  Bill,202-225-6105,"2440 RHOB,Texas 17th District"
Fortenberry  Jeff,202-225-4806,"1514 LHOB,Nebraska 1st District"
Foster  Bill,202-225-3515,"1224 LHOB,Illinois 11th District"
Foxx  Virginia,202-225-2071,"2262 RHOB,North Carolina 5th District"
Frankel  Lois,202-225-3001,"1037 LHOB,Florida 21st District"
Franks  Trent,202-225-4576,"2435 RHOB,Arizona 8th District"
Frelinghuysen  Rodney,202-225-5034,"2306 RHOB,New Jersey 11th District"
Fudge  Marcia L.,202-225-7032,"2344 RHOB,Ohio 11th District"
Gabbard  Tulsi,202-225-4906,"1433 LHOB,Hawaii 2nd District"
Gaetz  Matt,202-225-4136,"507 CHOB,Florida 1st District"
Gallagher  Mike,202-225-5665,"1007 LHOB,Wisconsin 8th District"
Gallego  Ruben,202-225-4065,"1218 LHOB,Arizona 7th District"
Garamendi  John,202-225-1880,"2438 RHOB,California 3rd District"
Garrett  Thomas,202-225-4711,"415 CHOB,Virginia 5th District"
Gibbs  Bob,202-225-6265,"2446 RHOB,Ohio 7th District"
Gohmert  Louie,202-225-3035,"2243 RHOB,Texas 1st District"
Gonzalez  Vicente,202-225-2531,"113 CHOB,Texas 15th District"
González-Colón  Jenniffer,202-225-2615,"1529 LHOB,Puerto Rico At-Large"
Goodlatte  Bob,202-225-5431,"2309 RHOB,Virginia 6th District"
Gosar  Paul A.,202-225-2315,"2057 RHOB,Arizona 4th District"
Gottheimer  Josh,202-225-4465,"213 CHOB,New Jersey 5th District"
Gowdy  Trey,202-225-6030,"2418 RHOB,South Carolina 4th District"
Granger  Kay,202-225-5071,"1026 LHOB,Texas 12th District"
Graves  Garret,202-225-3901,"430 CHOB,Louisiana 6th District"
Graves  Sam,202-225-7041,"1135 LHOB,Missouri 6th District"
Graves  Tom,202-225-5211,"2078 RHOB,Georgia 14th District"
Green  Al,202-225-7508,"2347 RHOB,Texas 9th District"
Green  Gene,202-225-1688,"2470 RHOB,Texas 29th District"
Griffith  Morgan,202-225-3861,"2202 RHOB,Virginia 9th District"
Grijalva  Raul,202-225-2435,"1511 LHOB,Arizona 3rd District"
Grothman  Glenn,202-225-2476,"1217 LHOB,Wisconsin 6th District"
Guthrie  S. Brett,202-225-3501,"2434 RHOB,Kentucky 2nd District"
Gutierrez  Luis,202-225-8203,"2408 RHOB,Illinois 4th District"
Hanabusa  Colleen,202-225-2726,"422 CHOB,Hawaii 1st District"
Harper  Gregg,202-225-5031,"2227 RHOB,Mississippi 3rd District"
Harris  Andy,202-225-5311,"1533 LHOB,Maryland 1st District"
Hartzler  Vicky,202-225-2876,"2235 RHOB,Missouri 4th District"
Hastings  Alcee L.,202-225-1313,"2353 RHOB,Florida 20th District"
Heck  Denny,202-225-9740,"425 CHOB,Washington 10th District"
Hensarling  Jeb,202-225-3484,"2228 RHOB,Texas 5th District"
Hice  Jody,202-225-4101,"324 CHOB,Georgia 10th District"
Higgins  Brian,202-225-3306,"2459 RHOB,New York 26th District"
Higgins  Clay,202-225-2031,"1711 LHOB,Louisiana 3rd District"
Hill  French,202-225-2506,"1229 LHOB,Arkansas 2nd District"
Himes  Jim,202-225-5541,"1227 LHOB,Connecticut 4th District"
Holding  George,202-225-3032,"1110 LHOB,North Carolina 2nd District"
Hollingsworth  Trey,202-225-5315,"1641 LHOB,Indiana 9th District"
Hoyer  Steny H.,202-225-4131,"1705 LHOB,Maryland 5th District"
Hudson  Richard,202-225-3715,"429 CHOB,North Carolina 8th District"
Huffman  Jared,202-225-5161,"1406 LHOB,California 2nd District"
Huizenga  Bill,202-225-4401,"2232 RHOB,Michigan 2nd District"
Hultgren  Randy,202-225-2976,"2455 RHOB,Illinois 14th District"
Hunter  Duncan D.,202-225-5672,"2429 RHOB,California 50th District"
Hurd  Will,202-225-4511,"317 CHOB,Texas 23rd District"
Issa  Darrell,202-225-3906,"2269 RHOB,California 49th District"
Jackson Lee  Sheila,202-225-3816,"2187 RHOB,Texas 18th District"
Jayapal  Pramila,202-225-3106,"319 CHOB,Washington 7th District"
Jeffries  Hakeem,202-225-5936,"1607 LHOB,New York 8th District"
Jenkins  Evan,202-225-3452,"1609 LHOB,West Virginia 3rd District"
Jenkins  Lynn,202-225-6601,"1526 LHOB,Kansas 2nd District"
Johnson  Bill,202-225-5705,"1710 LHOB,Ohio 6th District"
Johnson  Eddie Bernice,202-225-8885,"2468 RHOB,Texas 30th District"
"Johnson  Henry C. ""Hank"" Jr.",202-225-1605,"2240 RHOB,Georgia 4th District"
Johnson  Mike,202-225-2777,"327 CHOB,Louisiana 4th District"
Johnson  Sam,202-225-4201,"2304 RHOB,Texas 3rd District"
Jones  Walter B.,202-225-3415,"2333 RHOB,North Carolina 3rd District"
Jordan  Jim,202-225-2676,"2056 RHOB,Ohio 4th District"
Joyce  David,202-225-5731,"1124 LHOB,Ohio 14th District"
Kaptur  Marcy,202-225-4146,"2186 RHOB,Ohio 9th District"
Katko  John,202-225-3701,"1620 LHOB,New York 24th District"
Keating  William,202-225-3111,"2351 RHOB,Massachusetts 9th District"
Kelly  Mike,202-225-5406,"1707 LHOB,Pennsylvania 3rd District"
Kelly  Robin,202-225-0773,"1239 LHOB,Illinois 2nd District"
Kelly  Trent,202-225-4306,"1721 LHOB,Mississippi 1st District"
Kennedy III  Joseph P.,202-225-5931,"434 CHOB,Massachusetts 4th District"
Khanna  Ro,202-225-2631,"513 CHOB,California 17th District"
Kihuen  Ruben,202-225-9894,"313 CHOB,Nevada 4th District"
Kildee  Daniel,202-225-3611,"227 CHOB,Michigan 5th District"
Kilmer  Derek,202-225-5916,"1520 LHOB,Washington 6th District"
Kind  Ron,202-225-5506,"1502 LHOB,Wisconsin 3rd District"
King  Pete,202-225-7896,"339 CHOB,New York 2nd District"
King  Steve,202-225-4426,"2210 RHOB,Iowa 4th District"
Kinzinger  Adam,202-225-3635,"2245 RHOB,Illinois 16th District"
Knight  Steve,202-225-1956,"1023 LHOB,California 25th District"
Krishnamoorthi  Raja,202-225-3711,"515 CHOB,Illinois 8th District"
Kuster  Ann,202-225-5206,"137 CHOB,New Hampshire 2nd District"
Kustoff  David,202-225-4714,"508 CHOB,Tennessee 8th District"
Labrador  Raul R.,202-225-6611,"1523 LHOB,Idaho 1st District"
LaHood  Darin,202-225-6201,"1424 LHOB,Illinois 18th District"
LaMalfa  Doug,202-225-3076,"322 CHOB,California 1st District"
Lamborn  Doug,202-225-4422,"2402 RHOB,Colorado 5th District"
Lance  Leonard,202-225-5361,"2352 RHOB,New Jersey 7th District"
Langevin  Jim,202-225-2735,"2077 RHOB,Rhode Island 2nd District"
Larsen  Rick,202-225-2605,"2113 RHOB,Washington 2nd District"
Larson  John B.,202-225-2265,"1501 LHOB,Connecticut 1st District"
Latta  Robert E.,202-225-6405,"2448 RHOB,Ohio 5th District"
Lawrence  Brenda,202-225-5802,"1213 LHOB,Michigan 14th District"
Lawson  Al,202-225-0123,"1337 LHOB,Florida 5th District"
Lee  Barbara,202-225-2661,"2267 RHOB,California 13th District"
Levin  Sander,202-225-4961,"1236 LHOB,Michigan 9th District"
Lewis  Jason,202-225-2271,"418 CHOB,Minnesota 2nd District"
Lewis  John,202-225-3801,"343 CHOB,Georgia 5th District"
Lieu  Ted,202-225-3976,"236 CHOB,California 33rd District"
Lipinski  Daniel,202-225-5701,"2346 RHOB,Illinois 3rd District"
LoBiondo  Frank,202-225-6572,"2427 RHOB,New Jersey 2nd District"
Loebsack  David,202-225-6576,"1527 LHOB,Iowa 2nd District"
Lofgren  Zoe,202-225-3072,"1401 LHOB,California 19th District"
Long  Billy,202-225-6536,"2454 RHOB,Missouri 7th District"
Loudermilk  Barry,202-225-2931,"329 CHOB,Georgia 11th District"
Love  Mia,202-225-3011,"217 CHOB,Utah 4th District"
Lowenthal  Alan,202-225-7924,"125 CHOB,California 47th District"
Lowey  Nita,202-225-6506,"2365 RHOB,New York 17th District"
Lucas  Frank,202-225-5565,"2405 RHOB,Oklahoma 3rd District"
Luetkemeyer  Blaine,202-225-2956,"2230 RHOB,Missouri 3rd District"
Lujan  Ben R.,202-225-6190,"2231 RHOB,New Mexico 3rd District"
Lujan Grisham  Michelle,202-225-6316,"214 CHOB,New Mexico 1st District"
Lynch  Stephen F.,202-225-8273,"2268 RHOB,Massachusetts 8th District"
MacArthur  Tom,202-225-4765,"506 CHOB,New Jersey 3rd District"
Maloney  Carolyn,202-225-7944,"2308 RHOB,New York 12th District"
Maloney  Sean Patrick,202-225-5441,"1027 LHOB,New York 18th District"
Marchant  Kenny,202-225-6605,"2369 RHOB,Texas 24th District"
Marino  Tom,202-225-3731,"2242 RHOB,Pennsylvania 10th District"
Marshall  Roger,202-225-2715,"312 CHOB,Kansas 1st District"
Massie  Thomas,202-225-3465,"2453 RHOB,Kentucky 4th District"
Mast  Brian,202-225-3026,"2182 RHOB,Florida 18th District"
Matsui  Doris O.,202-225-7163,"2311 RHOB,California 6th District"
McCarthy  Kevin,202-225-2915,"2421 RHOB,California 23rd District"
McCaul  Michael T.,202-225-2401,"2001 RHOB,Texas 10th District"
McClintock  Tom,202-225-2511,"2312 RHOB,California 4th District"
McCollum  Betty,202-225-6631,"2256 RHOB,Minnesota 4th District"
McEachin  A. Donald,202-225-6365,"314 CHOB,Virginia 4th District"
McGovern  James,202-225-6101,"438 CHOB,Massachusetts 2nd District"
McHenry  Patrick T.,202-225-2576,"2334 RHOB,North Carolina 10th District"
McKinley  David,202-225-4172,"2239 RHOB,West Virginia 1st District"
McMorris Rodgers  Cathy,202-225-2006,"1314 LHOB,Washington 5th District"
McNerney  Jerry,202-225-1947,"2265 RHOB,California 9th District"
McSally  Martha,202-225-2542,"510 CHOB,Arizona 2nd District"
Meadows  Mark,202-225-6401,"1024 LHOB,North Carolina 11th District"
Meehan  Pat,202-225-2011,"2305 RHOB,Pennsylvania 7th District"
Meeks  Gregory W.,202-225-3461,"2234 RHOB,New York 5th District"
Meng  Grace,202-225-2601,"1317 LHOB,New York 6th District"
Messer  Luke,202-225-3021,"1230 LHOB,Indiana 6th District"
Mitchell  Paul,202-225-2106,"211 CHOB,Michigan 10th District"
Moolenaar  John,202-225-3561,"117 CHOB,Michigan 4th District"
Mooney  Alex,202-225-2711,"1232 LHOB,West Virginia 2nd District"
Moore  Gwen,202-225-4572,"2252 RHOB,Wisconsin 4th District"
Moulton  Seth,202-225-8020,"1408 LHOB,Massachusetts 6th District"
Mullin  Markwayne,202-225-2701,"1113 LHOB,Oklahoma 2nd District"
Mulvaney  Mick,202-225-5501,"2350 RHOB,South Carolina 5th District"
Murphy  Stephanie,202-225-4035,"1237 LHOB,Florida 7th District"
Murphy  Tim,202-225-2301,"2332 RHOB,Pennsylvania 18th District"
Nadler  Jerrold,202-225-5635,"2109 RHOB,New York 10th District"
Napolitano  Grace,202-225-5256,"1610 LHOB,California 32nd District"
Neal  Richard E.,202-225-5601,"341 CHOB,Massachusetts 1st District"
Newhouse  Dan,202-225-5816,"1318 LHOB,Washington 4th District"
Noem  Kristi,202-225-2801,"2457 RHOB,South Dakota At-Large"
Nolan  Rick,202-225-6211,"2366 RHOB,Minnesota 8th District"
Norcross  Donald,202-225-6501,"1531 LHOB,New Jersey 1st District"
Norton  Eleanor Holmes,202-225-8050,"2136 RHOB,District of Columbia At-Large"
Nunes  Devin,202-225-2523,"1013 LHOB,California 22nd District"
O'Halleran  Tom,202-225-3361,"126 CHOB,Arizona 1st District"
O'Rourke  Beto,202-225-4831,"1330 LHOB,Texas 16th District"
Olson  Pete,202-225-5951,"2133 RHOB,Texas 22nd District"
Palazzo  Steven,202-225-5772,"2349 RHOB,Mississippi 4th District"
Pallone Jr.  Frank,202-225-4671,"237 CHOB,New Jersey 6th District"
Palmer  Gary,202-225-4921,"330 CHOB,Alabama 6th District"
Panetta  Jimmy,202-225-2861,"228 CHOB,California 20th District"
Pascrell Jr.  Bill,202-225-5751,"2370 RHOB,New Jersey 9th District"
Paulsen  Erik,202-225-2871,"127 CHOB,Minnesota 3rd District"
Payne Jr.  Donald,202-225-3436,"132 CHOB,New Jersey 10th District"
Pearce  Steve,202-225-2365,"2432 RHOB,New Mexico 2nd District"
Pelosi  Nancy,202-225-4965,"233 CHOB,California 12th District"
Perlmutter  Ed,202-225-2645,"1410 LHOB,Colorado 7th District"
Perry  Scott,202-225-5836,"1207 LHOB,Pennsylvania 4th District"
Peters  Scott,202-225-0508,"1122 LHOB,California 52nd District"
Peterson  Collin C.,202-225-2165,"2204 RHOB,Minnesota 7th District"
Pingree  Chellie,202-225-6116,"2162 RHOB,Maine 1st District"
Pittenger  Robert,202-225-1976,"224 CHOB,North Carolina 9th District"
Plaskett  Stacey,202-225-1790,"331 CHOB,Virgin Islands At-Large"
Pocan  Mark,202-225-2906,"1421 LHOB,Wisconsin 2nd District"
Poe  Ted,202-225-6565,"2132 RHOB,Texas 2nd District"
Poliquin  Bruce,202-225-6306,"1208 LHOB,Maine 2nd District"
Polis  Jared,202-225-2161,"1727 LHOB,Colorado 2nd District"
Pompeo  Mike,202-225-6216,"2452 RHOB,Kansas 4th District"
Posey  Bill,202-225-3671,"2150 RHOB,Florida 8th District"
Price  David,202-225-1784,"2108 RHOB,North Carolina 4th District"
Price  Tom,202-225-4501,"1211 LHOB,Georgia 6th District"
Quigley  Mike,202-225-4061,"2458 RHOB,Illinois 5th District"
Radewagen  Amata,202-225-8577,"1339 LHOB,American Samoa At-Large"
Raskin  Jamie,202-225-5341,"431 CHOB,Maryland 8th District"
Ratcliffe  John,202-225-6673,"325 CHOB,Texas 4th District"
Reed  Tom,202-225-3161,"2437 RHOB,New York 23rd District"
Reichert  David G.,202-225-7761,"1127 LHOB,Washington 8th District"
Renacci  Jim,202-225-3876,"328 CHOB,Ohio 16th District"
Rice  Kathleen,202-225-5516,"1508 LHOB,New York 4th District"
Rice  Tom,202-225-9895,"223 CHOB,South Carolina 7th District"
Richmond  Cedric,202-225-6636,"420 CHOB,Louisiana 2nd District"
Roby  Martha,202-225-2901,"442 CHOB,Alabama 2nd District"
Roe  Phil,202-225-6356,"336 CHOB,Tennessee 1st District"
Rogers  Harold,202-225-4601,"2406 RHOB,Kentucky 5th District"
Rogers  Mike,202-225-3261,"2184 RHOB,Alabama 3rd District"
Rohrabacher  Dana,202-225-2415,"2300 RHOB,California 48th District"
Rokita  Todd,202-225-5037,"2439 RHOB,Indiana 4th District"
Rooney  Francis,202-225-2536,"120 CHOB,Florida 19th District"
Rooney  Tom,202-225-5792,"2160 RHOB,Florida 17th District"
Ros-Lehtinen  Ileana,202-225-3931,"2206 RHOB,Florida 27th District"
Rosen  Jacky,202-225-3252,"413 CHOB,Nevada 3rd District"
Roskam  Peter J.,202-225-4561,"2246 RHOB,Illinois 6th District"
Ross  Dennis,202-225-1252,"436 CHOB,Florida 15th District"
Rothfus  Keith,202-225-2065,"1205 LHOB,Pennsylvania 12th District"
Rouzer  David,202-225-2731,"424 CHOB,North Carolina 7th District"
Roybal-Allard  Lucille,202-225-1766,"2083 RHOB,California 40th District"
Royce  Ed,202-225-4111,"2310 RHOB,California 39th District"
Ruiz  Raul,202-225-5330,"1319 LHOB,California 36th District"
Ruppersberger  C. A. Dutch,202-225-3061,"2416 RHOB,Maryland 2nd District"
Rush  Bobby L.,202-225-4372,"2188 RHOB,Illinois 1st District"
Russell  Steve,202-225-2132,"128 CHOB,Oklahoma 5th District"
Rutherford  John,202-225-2501,"230 CHOB,Florida 4th District"
Ryan  Paul D.,202-225-3031,"1233 LHOB,Wisconsin 1st District"
Ryan  Tim,202-225-5261,"1126 LHOB,Ohio 13th District"
Sablan  Gregorio,202-225-2646,"2411 RHOB,Northern Mariana Islands At-Large"
Sánchez  Linda,202-225-6676,"2329 RHOB,California 38th District"
Sanford  Mark,202-225-3176,"2211 RHOB,South Carolina 1st District"
Sarbanes  John P.,202-225-4016,"2444 RHOB,Maryland 3rd District"
Scalise  Steve,202-225-3015,"2338 RHOB,Louisiana 1st District"
Schakowsky  Jan,202-225-2111,"2367 RHOB,Illinois 9th District"
Schiff  Adam,202-225-4176,"2372 RHOB,California 28th District"
Schneider  Bradley,202-225-4835,"1432 LHOB,Illinois 10th District"
Schrader  Kurt,202-225-5711,"2431 RHOB,Oregon 5th District"
Schweikert  David,202-225-2190,"2059 RHOB,Arizona 6th District"
Scott  Austin,202-225-6531,"2417 RHOB,Georgia 8th District"
Scott  David,202-225-2939,"225 CHOB,Georgia 13th District"
Scott  Robert C.,202-225-8351,"1201 LHOB,Virginia 3rd District"
Sensenbrenner  F. James,202-225-5101,"2449 RHOB,Wisconsin 5th District"
Serrano  José E.,202-225-4361,"2354 RHOB,New York 15th District"
Sessions  Pete,202-225-2231,"2233 RHOB,Texas 32nd District"
Sewell  Terri A.,202-225-2665,"2201 RHOB,Alabama 7th District"
Shea-Porter  Carol,202-225-5456,"1530 LHOB,New Hampshire 1st District"
Sherman  Brad,202-225-5911,"2181 RHOB,California 30th District"
Shimkus  John,202-225-5271,"2217 RHOB,Illinois 15th District"
Shuster  Bill,202-225-2431,"2079 RHOB,Pennsylvania 9th District"
Simpson  Mike,202-225-5531,"2084 RHOB,Idaho 2nd District"
Sinema  Kyrsten,202-225-9888,"1725 LHOB,Arizona 9th District"
Sires  Albio,202-225-7919,"2342 RHOB,New Jersey 8th District"
Slaughter  Louise,202-225-3615,"2469 RHOB,New York 25th District"
Smith  Adam,202-225-8901,"2264 RHOB,Washington 9th District"
Smith  Adrian,202-225-6435,"320 CHOB,Nebraska 3rd District"
Smith  Chris,202-225-3765,"2373 RHOB,New Jersey 4th District"
Smith  Jason,202-225-4404,"1118 LHOB,Missouri 8th District"
Smith  Lamar,202-225-4236,"2409 RHOB,Texas 21st District"
Smucker  Lloyd,202-225-2411,"516 CHOB,Pennsylvania 16th District"
Soto  Darren,202-225-9889,"1429 LHOB,Florida 9th District"
Speier  Jackie,202-225-3531,"2465 RHOB,California 14th District"
Stefanik  Elise,202-225-4611,"318 CHOB,New York 21st District"
Stewart  Chris,202-225-9730,"323 CHOB,Utah 2nd District"
Stivers  Steve,202-225-2015,"1022 LHOB,Ohio 15th District"
Suozzi  Thomas,202-225-3335,"226 CHOB,New York 3rd District"
Swalwell  Eric,202-225-5065,"129 CHOB,California 15th District"
Takano  Mark,202-225-2305,"1507 LHOB,California 41st District"
